objID,modelMag_u,modelMag_g,modelMag_r,RA,DEC,type
1237671939804561644,21.20975,19.32097,18.44257,258.226396589609,64.0547105400413,3
1237671939804627306,18.6956,16.64821,15.70953,258.340516614136,64.0690707198408,3
1237671939804627726,20.96483,20.67003,20.60263,258.373964772811,64.069197728155,6
1237671939804627723,25.92566,24.03144,22.42133,258.373845081979,64.0139434451201,3
1237671939804627388,20.04246,19.03974,18.73138,258.372832345727,64.0611400179977,3
1237671939804627363,23.7793,24.53026,22.9411,258.372612653606,64.0109379541411,6
1237671939804627010,25.33011,21.94372,24.71497,258.373031823201,64.0412298306407,3
1237671939804626983,24.18808,21.61857,20.609,258.373729046593,64.0373936890684,3
1237671939804562838,24.48616,24.20382,22.25579,258.08564966821,64.103241305705,6
1237671939804562496,24.00546,22.06849,20.5438,258.159138049127,63.9903961377238,6
1237671939804562016,23.21322,19.89547,18.88454,258.225612018076,64.0906838384129,6
1237671939804561533,24.56208,23.0757,22.44746,258.158366296187,64.0721518609777,6
1237671939804561500,24.39392,23.22038,18.99692,258.08535506464,64.0647713335134,3
1237671939804561498,21.45423,19.21607,18.09112,258.084024628304,64.0236178379438,3
1237671939804561481,20.49239,18.46602,17.57934,258.157927012411,64.0887592054832,3
1237651311070020077,21.11476,20.74841,20.51631,258.373985360644,64.0691904431434,6
1237651311070019858,20.16724,19.05597,18.74585,258.372877130397,64.0611273585788,3
1237651311070019777,25.05101,25.44539,22.35683,258.374198366477,64.0140508745427,6
1237651311070019630,18.61215,16.53204,15.58843,258.340529737049,64.0690792697354,3
1237651297648312899,22.97773,22.16611,20.52641,258.159149424508,63.9904029818765,6
1237651297648312897,21.62679,21.05278,20.3525,258.226764335777,64.00058286795,3
1237651297648312362,18.0894,16.16508,15.25341,258.226818727318,63.9924182247733,3
1237651297648247357,21.9762,19.84618,18.84111,258.225629268193,64.0907047197341,6
1237651297648247302,20.90475,18.48863,17.39717,258.158128406522,64.020723837166,6
1237651297648247265,20.8354,18.80727,17.8457,258.084088102828,64.0236174388214,3
1237651297648247036,20.90967,18.95437,18.12603,258.158073651593,64.0123823989757,6
1237651297648246937,21.569,19.44785,18.51737,258.226444068075,64.0547245654337,3
1237651297648246919,20.4273,18.52713,17.61013,258.15795848638,64.0887753375497,3
1237671939804628443,25.27308,22.79811,22.20761,258.341731033924,64.1010776586412,3
1237671939804627871,24.29353,22.86287,23.1997,258.341915868053,64.0184612285998,3
1237671939804561953,21.16905,18.46357,17.40253,258.158086548816,64.0207108393666,6
1237671939804561950,20.87428,18.93218,18.13434,258.158024869403,64.0123726278335,6
1237651297648246965,24.81702,22.52594,21.82716,258.158276054515,64.0721399065246,3
1237671939804561475,19.22808,17.19313,16.26248,258.213356606074,64.0731695719281,3
1237671939804628448,26.08498,23.85321,23.0663,258.36254846569,64.0844956401733,6
1237671939804627941,21.73768,21.16387,20.45894,258.362946598147,64.08711278992,3
1237671939804627716,20.73972,19.72159,19.03972,258.363268125422,64.0035580981997,3
1237671939804627033,24.31734,23.29675,24.63125,258.362923324018,64.0419135474422,6
1237671939804627014,25.18518,22.7931,22.2922,258.362539256443,64.0500445043578,6
1237671939804626988,25.04839,23.83276,22.35746,258.362356044895,64.0387371951584,6
1237671939804626979,24.88627,22.76352,22.18775,258.36179548936,64.0467163342749,6
1237671939804562796,26.0586,23.16938,22.19294,258.053393603759,64.0225128314419,3
1237671939804562408,23.96001,21.91111,20.58754,258.054003109481,64.0668179043304,6
1237671939804562363,21.87444,22.02637,20.34897,258.05359250642,63.994902067984,3
1237671939804561633,19.72352,18.21136,17.64511,258.214186594883,64.1016249011406,6
1237671939804561620,24.02027,24.73856,23.15675,258.214519756744,63.9905809843472,6
1237671939804561615,25.54679,24.5966,23.06442,258.214550514288,63.9939685101304,6
