,objID,modelMag_u,modelMag_g,modelMag_r,RA_x,DEC_x,type,bestObjID,RA_y,DEC_y,z,u_g,g_r
288,1.2376512976483128e+18,25.271829999999998,24.491529999999997,21.7224,258.250817647673,64.01851465648551,3.0,,,,,0.7803000000000004,2.769129999999997
289,1.2376512976483128e+18,22.80031,21.98763,21.42882,258.193615641917,63.9929392230352,3.0,,,,,0.8126800000000003,0.5588099999999976
290,1.2376719398045614e+18,19.54234,17.63774,16.64294,258.133634652656,64.0385560165344,3.0,1.2376719398045614e+18,258.13376,64.038556,0.08280216,1.9045999999999985,0.9948000000000015
292,1.2376719398045617e+18,23.33982,22.3194,21.41105,258.250803912329,64.0514446092202,3.0,,,,,1.0204199999999979,0.9083500000000022
294,1.237671939804562e+18,24.0986,20.1825,19.63042,258.047339015807,64.0719923571304,3.0,,,,,3.9161,0.5520800000000001
299,1.2376719398045624e+18,24.922060000000002,22.506999999999998,21.7131,258.133563016723,64.0214779342882,3.0,,,,,2.415060000000004,0.7938999999999972
300,1.2376719398045624e+18,22.82694,22.29992,21.559,258.193591368049,63.9929547959515,3.0,,,,,0.5270200000000003,0.7409199999999991
301,1.2376719398045627e+18,26.172710000000002,22.75609,21.31332,258.046993700501,64.007258531272,3.0,,,,,3.4166200000000018,1.4427699999999994
302,1.2376719398045624e+18,23.940579999999997,22.26511,21.65991,258.04772692102995,64.050156546376,3.0,,,,,1.6754699999999971,0.6052
304,1.2376719398045627e+18,24.418039999999998,22.85107,21.560570000000002,258.250565481165,64.0185180148696,3.0,,,,,1.5669699999999978,1.290499999999998
306,1.2376719398045624e+18,22.46348,21.87496,21.268520000000002,258.134366851085,64.09049700051389,3.0,,,,,0.588519999999999,0.6064399999999992
307,1.2376719398045624e+18,23.09692,21.48907,21.323,258.04774035439897,64.10781822000929,3.0,,,,,1.6078499999999991,0.16607000000000127
309,1.2376719398045614e+18,19.853839999999998,17.83365,16.8333,258.117679655239,64.0311021462368,3.0,1.2376719398045614e+18,258.11782,64.031104,0.08687139,2.0201899999999995,1.0003499999999974
311,1.2376719398045617e+18,23.40418,21.8134,20.62508,258.24691003555,64.0439579711699,3.0,,,,,1.5907799999999988,1.188320000000001
314,1.2376719398046277e+18,22.60557,22.06233,21.422179999999997,258.248175364377,64.10213940433779,3.0,,,,,0.5432400000000008,0.640150000000002
317,1.2376719398046275e+18,25.27928,25.51437,23.09244,258.318444204228,64.0682640338575,3.0,,,,,-0.23508999999999958,2.4219299999999997
319,1.2376719398046272e+18,23.88839,24.59517,23.357,258.317838421671,64.0783538346744,3.0,,,,,-0.7067799999999984,1.2381700000000002
322,1.237671939804563e+18,26.236459999999997,25.721529999999998,22.47166,258.193187299302,64.10816260658889,3.0,,,,,0.5149299999999997,3.249869999999998
323,1.237671939804563e+18,27.63492,22.30247,21.36446,258.117110990211,64.0900976602242,3.0,,,,,5.3324500000000015,0.9380099999999985
324,1.2376719398045624e+18,25.51435,22.675320000000003,22.37969,258.192129293162,64.0086775698699,3.0,,,,,2.8390299999999975,0.2956300000000027
325,1.237671939804562e+18,20.56711,18.73696,17.87719,258.117023255021,64.00351114077661,3.0,,,,,1.8301499999999997,0.859770000000001
326,1.2376513110700206e+18,27.10394,20.39746,20.65065,258.295058335013,64.0845413140787,3.0,,,,,6.706480000000003,-0.25319
327,1.2376513110700204e+18,22.68135,21.6423,20.81808,258.317799476899,64.0249954732381,3.0,,,,,1.0390499999999996,0.8242200000000004
328,1.2376513110700204e+18,25.17724,22.39978,21.520670000000003,258.367589669894,64.0352508635751,3.0,,,,,2.7774600000000014,0.8791099999999972
329,1.2376513110700204e+18,22.62421,21.41512,20.33701,258.368404422342,64.0345737267931,3.0,,,,,1.2090899999999998,1.0781100000000023
330,1.2376513110700204e+18,24.8617,24.51251,21.4579,258.316831407645,64.0366826881811,3.0,,,,,0.3491900000000001,3.0546100000000003
332,1.23765131107002e+18,22.59273,21.09722,20.22144,258.368741230683,64.0753531012172,3.0,,,,,1.4955099999999995,0.8757799999999989
334,1.2376513110700198e+18,24.24641,22.25054,21.48433,258.277110062966,64.0885319274671,3.0,,,,,1.99587,0.766210000000001
336,1.2376512976483128e+18,25.176679999999998,21.823520000000002,20.59156,258.31782537908697,64.02499120273289,3.0,,,,,3.3531599999999955,1.2319600000000008
337,1.2376512976482478e+18,21.99226,22.01521,20.99602,258.248048896679,64.10218372206211,3.0,,,,,-0.022949999999998028,1.0191899999999983
339,1.237651297648247e+18,22.94695,21.31241,20.3945,258.246922452588,64.0440091873184,3.0,,,,,1.6345400000000012,0.9179099999999991
342,1.237651297648247e+18,19.83246,17.75204,16.79027,258.117722468216,64.0311071189913,3.0,,,,,2.08042,0.9617700000000013
343,1.2376719398046285e+18,22.41743,23.03985,22.596239999999998,258.295144375536,64.0844818298513,3.0,,,,,-0.6224200000000017,0.44361000000000317
344,1.237671939804628e+18,26.73804,21.67071,21.137420000000002,258.367948506086,64.1012254327583,3.0,,,,,5.067330000000002,0.5332899999999974
345,1.237671939804628e+18,23.95668,21.202820000000003,20.30922,258.368709895107,64.0753432509855,3.0,,,,,2.753859999999996,0.8936000000000028
346,1.237671939804628e+18,24.88559,23.06855,22.26211,258.368593762948,64.0359652686674,3.0,,,,,1.8170400000000022,0.8064399999999985
347,1.237671939804628e+18,25.80961,21.4962,20.6516,258.367627763572,64.0352396011045,3.0,,,,,4.3134099999999975,0.8446000000000033
349,1.2376719398046277e+18,22.97816,22.203689999999998,21.96242,258.277142592366,64.0885928149858,3.0,,,,,0.7744700000000009,0.24126999999999654
351,1.2376719398046277e+18,20.781010000000002,18.78804,17.75999,258.296719007661,64.0154601343358,3.0,,,,,1.9929700000000032,1.0280500000000004
352,1.2376719398045627e+18,24.6516,22.289479999999998,22.13495,258.192370032006,64.0221865621817,3.0,,,,,2.362120000000001,0.1545299999999976
353,1.237651297648248e+18,24.56747,26.827740000000002,22.87144,258.193019997785,64.1081591567706,3.0,,,,,-2.260270000000002,3.9563000000000024
354,1.2376512976482473e+18,20.66185,18.73705,17.85046,258.11708498098,64.0035184583665,3.0,,,,,1.9248000000000012,0.8865899999999982
355,1.237651297648247e+18,23.57224,21.231939999999998,20.42546,258.116874350198,64.0441164208847,3.0,,,,,2.3403000000000027,0.806479999999997
356,1.237671939804628e+18,24.12523,22.7032,21.52789,258.316820169105,64.036744182985,3.0,,,,,1.4220299999999995,1.1753099999999996
357,1.237671939804628e+18,25.46538,21.5997,20.97371,258.31739232838197,64.0249826833665,3.0,,,,,3.865680000000001,0.625989999999998
360,1.2376512976482478e+18,22.85524,21.56646,20.925,258.036296651621,64.0023357425432,3.0,,,,,1.2887799999999991,0.6414599999999986
361,1.2376719398046272e+18,19.98653,18.269270000000002,17.522879999999997,258.331798129021,63.9930657812674,3.0,,,,,1.717259999999996,0.7463900000000052
363,1.2376719398045627e+18,23.1795,22.28485,21.433889999999998,258.035124903756,64.02556681349421,3.0,,,,,0.8946500000000022,0.8509600000000006
